PATCH PANEL 01,LOCAL DESCRIÇÃO 01,LOCAL DESCRIÇÃO 02,PROBLEMA?
1,CORREDOR DIREITA,WIFI TP LINK DECO,
2,CONSULTÓRIO 02,DR KRONER (BANCADA),
3,,,
4,CONSULTÓRIO 01,DRA GABRIELLA (CARRINHO),
5,SALA ADM/VENDAS INFO,PONTO 04 INFERIOR DIREITA,
6,,,
7,SALA ADM/VENDAS INFO,PONTO 01 SUPERIOR ESQUERDA,
8,CONSULTÓRIO 02,DR KRONER (CARRINHO),
9,,,
10,CONSULTÓRIO 03,DR ERICH (CARRINHO),
11,SALÃO PRINCIPAL ,WIFI TP LINK DECO,
12,CONSULTÓRIO 03,DR ERICH (BALCÃO),
13,SALA ADM/VENDAS INFO,PONTO 02 INFERIOR ESQUERDA,
14,,,
15,,,
16,,,
17,SALA INFO DEV,PONTO 03 SUPERIOR DIREITA,
18,,,
19,SALA INFO DEV,PONTO 02 INFERIOR ESQUERDA,
20,,,
21,SALA INFO DEV,PONTO 01 SUPERIOR ESQUERDA,CABO EM FALHA
22,,,
23,SALA INFO DEV,PONTO 04 INFERIOR DIREITA,
24,,,
PATCH PANEL 02,,,
1,SALA ADM/VENDAS INFO,PONTO 03 SUPERIOR DIREITA,
2,,,
3,,,
4,,,
5,,,
6,,,
7,SALA REUNIÃO 01,PONTO 03 SUPERIOR DIREITA,
8,,,
9,SALA REUNIÃO 01,PONTO 04 INFIERIOR DIREITA,
10,,,
11,SALA FOTOGRAFIA,PONTO 03 SUPERIOR DIREITA,
12,,,
13,SALA FOTOGRAFIA,PONTO 02 INFERIOR ESQUERDA,
14,,,
15,SALA FOTOGRAFIA,PONTO 01 SUPERIOR ESQUERDA,
16,,,
17,CORREDOR ESQUERDA,WIFI TP LINK DECO,
18,,,
19,SALA FOTOGRAFIA,PONTO 04 INFIERIOR DIREITA,
20,,,
21,SALA REUNIÃO 01,PONTO 01 SUPERIOR ESQUERDA,
22,,,
23,SALA REUNIÃO 01,PONTO 02 INFERIOR ESQUERDA,
24,,,
